[4:12];[7:3];[7:10];[7:14]
588.205;0;20.0521;0.0109973
589.792;0;20.0231;0.0169189
588.937;0;20.0231;0.0126892
589.669;0;19.9942;0.0169189
587.96;0;19.9942;0.0104333
588.571;0;19.9797;0.0174829
588.571;0;19.9797;0.0149451
588.449;0;19.9653;0.0107153
587.96;0;19.9653;0.0129712
587.96;0;19.9653;0.0129712
588.571;0;19.9653;0.0188928
589.181;0;19.9508;0.0177649
588.693;0;19.9508;0.0118433
589.669;0;19.9508;0.015791
588.205;0;19.9508;0.015791
588.083;0;20.0231;0.0140991
587.838;0;20.0231;0.0143811
588.449;0;20.0231;0.0143811
588.205;0;20.081;0.0177649
588.205;0;20.1244;0.0115613
587.96;0;20.1244;0.0115613
589.181;0;20.1534;0.0118433
589.303;0;20.1534;0.0121252
588.937;0;20.1823;0.016355
588.449;0;20.1823;0.0104333
588.449;0;20.1389;0.0138171
588.205;0;20.1389;0.0152271
588.937;0;20.081;0.0109973
588.083;0;20.081;0.0172009
588.571;0;20.0521;0.0121252
588.083;0;20.0521;0.0121252
589.303;0;20.0521;0.0149451
589.059;0;20.0231;0.0118433
588.693;0;19.9942;0.015509
588.205;0;19.9942;0.0104333
587.96;0;19.9797;0.0169189
587.96;0;19.9797;0.016073
588.693;0;19.9797;0.0152271
588.205;0;19.9653;0.0172009
588.571;0;19.9653;0.0112793
588.083;0;19.9653;0.0126892
589.181;0;19.9508;0.0135352
589.425;0;19.9508;0.0112793
588.449;0;19.9508;0.0172009
587.594;0;19.9508;0.0112793
587.96;0;20.0087;0.015509
588.083;0;20.0087;0.0172009
588.449;0;20.0087;0.0146631
588.083;0;20.0666;0.016073
588.571;0;20.11;0.0138171
587.838;0;20.11;0.0138171
588.693;0;20.1534;0.016073
589.914;0;20.1534;0.0115613
588.693;0;20.1678;0.0172009
587.716;0;20.1678;0.0143811
588.083;0;20.1389;0.015791
588.327;0;20.1389;0.0174829
588.571;0;20.081;0.0121252
588.083;0;20.081;0.015791
588.327;0;20.0521;0.0112793
588.083;0;20.0521;0.015509
589.181;0;20.0521;0.0138171
589.059;0;20.0231;0.0132532
588.937;0;19.9942;0.0138171
587.96;0;19.9942;0.0124072
588.205;0;19.9797;0.0152271
588.205;0;19.9797;0.0172009
588.937;0;19.9653;0.0115613
587.838;0;19.9653;0.015509
588.205;0;19.9508;0.0115613
588.083;0;19.9508;0.0152271
589.181;0;19.9508;0.0152271
589.425;0;19.9508;0.0104333
589.425;0;19.9508;0.016355
587.594;0;19.9508;0.0132532
588.083;0;20.0087;0.0115613
587.96;0;20.0087;0.0172009
588.937;0;20.0666;0.0138171
587.228;0;20.0666;0.0149451
588.205;0;20.11;0.0118433
588.327;0;20.11;0.015791
589.181;0;20.11;0.0129712
589.547;0;20.1534;0.0152271
588.937;0;20.1823;0.0135352
588.327;0;20.1823;0.0140991
587.96;0;20.2112;0.016637
587.838;0;20.2112;0.0115613
589.181;0;20.2112;0.016637
587.35;0;20.2257;0.0129712
587.838;0;20.2257;0.015509
587.838;0;20.2257;0.0124072
589.547;0;20.2257;0.0124072
589.059;0;20.2402;0.0112793
588.449;0;20.2546;0.0129712
587.472;0;20.2546;0.0143811
587.96;0;20.2546;0.0143811
588.083;0;20.2546;0.016073
589.059;0.579664;20.2546;0.0138171
587.35;0.579664;20.2546;0.0149451
587.838;0;20.2691;0.0126892
588.571;0;20.2691;0.016355
589.425;0;20.2691;0.0121252
589.181;0;20.2691;0.0118433
588.937;0;20.2691;0.016073
587.96;0;20.2691;0.0146631
588.083;0;20.2112;0.0115613
588.205;0;20.2112;0.015509
589.181;0;20.1389;0.0112793
587.716;0;20.1389;0.0149451
587.594;0;20.0955;0.016073
588.327;0;20.0955;0.0112793
589.303;0;20.0521;0.0126892
588.937;0;20.0521;0.0121252
588.327;0;20.0231;0.015509
587.472;0;20.0231;0.015791
587.838;0;20.0087;0.0115613
587.96;0;20.0087;0.0146631
589.303;0;20.0087;0.0146631
588.083;0;19.9797;0.0140991
587.716;0;19.9653;0.016355
587.594;0;19.9653;0.0115613
588.815;0;19.9653;0.0135352
588.815;0;19.9653;0.0129712
588.205;0;19.9653;0.015509
587.594;0;19.9653;0.015791
588.083;0;20.0231;0.0124072
588.571;0;20.0231;0.0146631
588.937;0;20.081;0.0121252
587.96;0;20.081;0.0129712
587.96;0;20.11;0.0146631
588.205;0;20.11;0.0112793
589.425;0;20.1534;0.0143811
589.425;0;20.1534;0.0138171
588.449;0;20.1823;0.0118433
587.594;0;20.1823;0.015791
587.96;0;20.2112;0.0124072
588.083;0;20.2112;0.0138171
588.571;0;20.2257;0.0121252
587.472;0;20.2257;0.0129712
587.472;0;20.2402;0.015791
587.96;0;20.2402;0.0118433
589.303;0;20.2402;0.015791
589.547;0;20.2402;0.0143811
588.937;0;20.2546;0.0140991
587.594;0;20.2546;0.016355
587.716;0;20.2546;0.0126892
587.96;0;20.2546;0.0138171
588.449;0;20.2546;0.0174829
587.472;0;20.2546;0.0124072
587.594;0;20.2691;0.015509
587.838;0;20.2691;0.0118433
588.571;0;20.2546;0.0118433
589.303;0;20.2546;0.0152271
589.181;0;20.2691;0.0112793
587.228;0;20.2691;0.016073
587.838;0;20.2691;0.0140991
587.96;0;20.2691;0.0169189
588.449;0;20.2691;0.0177649
587.472;0;20.2691;0.0121252
587.228;0;20.2691;0.0172009
587.96;0;20.2691;0.0124072
589.059;0;20.2691;0.0121252
588.937;0;20.2691;0.0115613
589.303;0;20.2691;0.0112793
587.594;0;20.2691;0.016073
588.693;0;20.2836;0.0112793
588.083;0;20.2836;0.0124072
588.815;0;20.2691;0.0124072
587.35;0;20.2691;0.0118433
587.106;0;20.2836;0.0169189
587.838;0;20.2836;0.0132532
588.937;0;20.2836;0.0132532
589.181;0;20.2836;0.0115613
588.693;0;20.2691;0.0121252
587.96;0;20.2691;0.015791
588.937;0;20.2691;0.015791
588.205;0;20.2691;0.0126892
589.425;0;20.2691;0.0172009
587.716;0;20.2691;0.0115613
587.594;0;20.2691;0.0140991
587.96;0;20.2691;0.0132532
589.059;0;20.2691;0.0132532
589.669;0;20.2691;0.0172009
588.937;0;20.2691;0.0112793
588.449;0;20.2691;0.015509
588.937;0;20.2112;0.0118433
588.815;0;20.2112;0.0115613
589.303;0;20.1389;0.016355
588.083;0;20.1389;0.0115613
587.35;0;20.0955;0.0138171
587.594;0;20.0955;0.0138171
589.425;0;20.0521;0.016637
589.181;0;20.0521;0.0107153
588.571;0;20.0231;0.0172009
587.96;0;20.0666;0.015509
588.571;0;20.0666;0.015509
589.181;0;20.0666;0.0172009
589.059;0;20.1244;0.0109973
587.96;0;20.1244;0.016637
587.35;0;20.1534;0.016073
588.083;0;20.1823;0.0152271
589.181;0;20.1823;0.0126892
589.181;0;20.1823;0.0172009
588.815;0;20.1968;0.0118433
588.083;0;20.2257;0.0149451
588.815;0;20.2257;0.0124072
588.571;0;20.2257;0.0177649
588.937;0;20.2257;0.015509
587.96;0;20.2402;0.0112793
587.472;0;20.2402;0.015791
588.083;0;20.2402;0.015509
588.693;0;20.2402;0.0109973
589.669;0;20.2546;0.0174829
588.693;0;20.2546;0.0132532
587.716;0;20.2546;0.0149451
588.449;0;20.2546;0.0135352
588.571;0;20.2691;0.0107153
588.693;0;20.2691;0.015509
587.716;0;20.2691;0.0112793
587.594;0;20.2691;0.015791
587.838;0;20.2691;0.016637
588.693;0;20.2691;0.0121252
589.059;0;20.2691;0.015791
589.425;0;20.2691;0.0143811
588.083;0;20.2691;0.0143811
588.449;0;20.2691;0.0172009
588.693;0;20.2691;0.0124072
589.181;0;20.2691;0.0152271
587.716;0;20.2691;0.0121252
588.327;0;20.2691;0.015791
588.327;0;20.2836;0.0174829
589.303;0;20.2836;0.0118433
589.303;0;20.2836;0.0169189
589.303;0;20.2836;0.0112793
587.716;0;20.2691;0.0135352
588.205;0;20.2691;0.0169189
588.815;0;20.2836;0.0104333
588.449;0;20.2836;0.0174829
587.716;0;20.2836;0.0121252
587.472;0;20.2836;0.0118433
587.96;0;20.2836;0.0186108
588.693;0;20.2836;0.0109973
588.937;0;20.2836;0.0180469
589.181;0;20.2691;0.0112793
587.96;0;20.2112;0.0129712
587.96;0;20.2112;0.016073
588.449;0;20.1534;0.0104333
588.449;0;20.1534;0.0143811
